"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport"
"314",2018-10-06,"Philadelphia","PA",1,2018,279,"11/7/2017"
"315",2018-10-04,"Delaware","PA",1,2018,277,"11/7/2017"
"316",2018-10-07,"Lehigh","PA",1,2018,280,"11/7/2017"
"317",2018-10-07,"Northampton","PA",1,2018,280,"11/7/2017"
"318",2018-10-08,"Montgomery","PA",1,2018,281,"11/7/2017"
"319",2018-10-08,"Lehigh","PA",1,2018,281,"11/7/2017"
"320",2018-10-08,"Berks","PA",1,2018,281,"11/7/2017"
"321",2018-10-09,"Berks","PA",1,2018,282,"11/7/2017"
"322",2018-10-09,"Berks","PA",1,2018,282,"11/7/2017"
"323",2018-10-09,"Berks","PA",1,2018,282,"11/7/2017"
"324",2018-10-09,"Berks","PA",1,2018,282,"11/7/2017"
"325",2018-10-09,"Montgomery","PA",1,2018,282,"11/7/2017"
"326",2018-10-09,"Lehigh","PA",1,2018,282,"11/7/2017"
"327",2018-10-09,"Bucks","PA",1,2018,282,"11/7/2017"
"328",2018-10-09,"Berks","PA",1,2018,282,"11/7/2017"
"329",2018-10-09,"Montgomery","PA",1,2018,282,"11/7/2017"
"330",2018-10-10,"Chester","PA",1,2018,283,"11/7/2017"
"331",2018-10-11,"Berks","PA",1,2018,284,"11/7/2017"
"332",2018-10-12,"Berks","PA",1,2018,285,"11/7/2017"
"333",2018-10-07,"Lehigh","PA",1,2018,280,"11/7/2017"
"334",2018-10-12,"Northampton","PA",1,2018,285,"11/7/2017"
"335",2018-10-12,"Bucks","PA",1,2018,285,"11/7/2017"
"336",2018-10-13,"Montgomery","PA",1,2018,286,"11/7/2017"
"337",2018-10-07,"Bucks","PA",1,2018,280,"11/7/2017"
"338",2018-10-16,"Philadelphia","PA",1,2018,289,"11/7/2017"
"339",2018-10-16,"Schuylkill","PA",1,2018,289,"11/7/2017"
"340",2018-10-16,"Frederick","Virginia",1,2018,289,NA
"341",2018-10-16,"Bucks","PA",1,2018,289,"11/7/2017"
"342",2018-10-16,"Philadelphia","PA",1,2018,289,"11/7/2017"
"343",2018-09-22,"Montgomery","PA",1,2018,265,"11/7/2017"
"344",2018-10-08,"Montgomery","PA",1,2018,281,"11/7/2017"
"345",2018-10-20,"Bucks","PA",1,2018,293,"11/7/2017"
"346",2018-10-21,"Chester","PA",1,2018,294,"11/7/2017"
"347",2018-10-21,"Montgomery","PA",1,2018,294,"11/7/2017"
"348",2018-10-21,"Berks","PA",1,2018,294,"11/7/2017"
"349",2018-09-29,"Lehigh","PA",1,2018,272,"11/7/2017"
"350",2018-10-20,"Lancaster","PA",1,2018,293,"11/7/2017"
"351",2018-10-23,"Bucks","PA",1,2018,296,"11/7/2017"
"352",2018-10-24,"Berks","PA",1,2018,297,"11/7/2017"
"353",2018-10-24,"Berks","PA",1,2018,297,"11/7/2017"
"354",2018-10-24,"Berks","PA",1,2018,297,"11/7/2017"
"355",2018-10-25,"Lehigh","PA",1,2018,298,"11/7/2017"
"356",2018-10-25,"Montgomery","PA",1,2018,298,"11/7/2017"
"357",2018-10-26,"Montgomery","PA",1,2018,299,"11/7/2017"
"358",2018-10-29,"Berks","PA",1,2018,302,"11/7/2017"
"359",2018-10-30,"Berks","PA",1,2018,303,"11/7/2017"
