ObservedDate,County,State,Count,Year,DOY
6/8/2019,Montgomery,PA,1,2019,159
6/8/2019,Lehigh,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/8/2019,Philadelphia,PA,1,2019,159
6/9/2019,Montgomery,PA,1,2019,160
6/6/2019,Hunterdon,NJ,1,2019,157
6/9/2019,Philadelphia,PA,1,2019,160
6/4/2019,Chester,PA,1,2019,155
6/4/2019,Chester,PA,1,2019,155
6/9/2019,Philadelphia,PA,1,2019,160
6/11/2019,Philadelphia,PA,1,2019,162
6/11/2019,Northampton,PA,1,2019,162
6/11/2019,Montgomery,PA,1,2019,162
6/10/2019,Hunterdon,NJ,1,2019,161
6/11/2019,Berks,PA,1,2019,162
6/11/2019,Philadelphia,PA,1,2019,162
6/11/2019,Hunterdon,NJ,1,2019,162
6/12/2019,Berks,PA,1,2019,163
6/11/2019,Delaware,PA,1,2019,162
6/12/2019,Berks,PA,1,2019,163
6/12/2019,Northampton,PA,1,2019,163
6/12/2019,Chester,PA,1,2019,163
6/13/2019,Montgomery,PA,1,2019,164
6/14/2019,Chester,PA,1,2019,165
6/14/2019,Northampton,PA,1,2019,165
6/14/2019,Northampton,PA,1,2019,165
6/15/2019,Montgomery,PA,1,2019,166
6/15/2019,Montgomery,PA,1,2019,166
6/15/2019,Montgomery,PA,1,2019,166
6/15/2019,Montgomery,PA,1,2019,166
6/15/2019,Montgomery,PA,1,2019,166
6/2/2019,Lehigh,PA,1,2019,153
6/16/2019,Chester,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Lancaster,PA,1,2019,167
6/16/2019,Berks,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Montgomery,PA,1,2019,167
6/16/2019,Delaware,PA,1,2019,167
6/16/2019,Chester,PA,1,2019,167
6/17/2019,Chester,PA,1,2019,168
6/17/2019,Northampton,PA,1,2019,168
6/9/2019,Bucks,PA,1,2019,160
6/9/2019,Philadelphia,PA,1,2019,160
6/18/2019,Chester,PA,1,2019,169
6/16/2019,Bucks,PA,1,2019,167
8/23/2018,Montgomery,PA,1,2018,235
7/15/2018,Montgomery,PA,1,2018,196
6/10/2019,Delaware,PA,1,2019,161
6/20/2019,Chester,PA,1,2019,171
6/20/2019,Chester,PA,1,2019,171
6/14/2019,Chester,PA,1,2019,165
6/20/2019,Northampton,PA,1,2019,171
6/20/2019,Northampton,PA,1,2019,171
6/21/2019,Chester,PA,1,2019,172
6/21/2019,Philadelphia,PA,1,2019,172
6/22/2019,Lancaster,PA,1,2019,173
6/22/2019,Chester,PA,1,2019,173
6/22/2019,Philadelphia,PA,1,2019,173
6/22/2019,Bucks,PA,1,2019,173
6/23/2019,Montgomery,PA,1,2019,174
6/23/2019,Montgomery,PA,1,2019,174
6/23/2019,Montgomery,PA,1,2019,174
6/23/2019,Northampton,PA,1,2019,174
6/23/2019,Bucks,PA,1,2019,174
6/23/2019,Lancaster,PA,1,2019,174
6/23/2019,Montgomery,PA,1,2019,174
6/23/2019,Montgomery,PA,1,2019,174
6/24/2019,Chester,PA,1,2019,175
6/21/2019,New Castle,Delaware,1,2019,172
6/25/2019,Philadelphia,PA,1,2019,176
6/25/2019,Lancaster,PA,1,2019,176
6/25/2019,Montgomery,PA,1,2019,176
6/24/2019,Delaware,PA,1,2019,175
6/25/2019,Montgomery,PA,1,2019,176
6/9/2019,Chester,PA,1,2019,160
6/26/2019,Montgomery,PA,1,2019,177
